meta-date;complaint-title;complaint-title href;readmore
2 Apr, 19:09;Penanganan kanopi yang menghalangi jalan;https://www.lapor.go.id/laporan/detil/penanganan-kanopi-yang-menghalangi-jalan-202504021909251743595765039;Penanganan kanopi yang menghalangi jalan Jl. Seth Adji (Dekat Jl. Wortel) Senin, 06 Januari 2025 Pukul : 20.50 WIB
2 Apr, 19:07;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504021907191743595639017;Evakuasi sarang tawon Jl. G Obos XXI Senin, 06 Januari 2025 Pukul : 16.37 WIB
2 Apr, 19:03;Penanganan pohon tumbang menimpa kabel listrik;https://www.lapor.go.id/laporan/detil/penanganan-pohon-tumbang-menimpa-kabel-listrik-202504021903351743595415350;Penanganan pohon tumbang menimpa kabel listrik Jl. Lele Ujung Senin, 06 Januari 2025 Pukul : 10.20 WIB
2 Apr, 18:59;Memerlukan ambulan untuk pengantaran orang sakit;https://www.lapor.go.id/laporan/detil/memerlukan-ambulan-untuk-pengantaran-orang-sakit-202504021859531743595193053;Memerlukan ambulan untuk pengantaran orang sakit Jl. G Obos XXIV, Gang Tumbang Gagu Senin, 06 Januari 2025 Pukul : 08.05 WIB
21 Mar, 17:05;Evakuasi mobil terperosok;https://www.lapor.go.id/laporan/detil/evakuasi-mobil-terperosok-202503211705051742551505697;Evakuasi mobil terperosok Jl. Seth Adji Minggu, 05 Januari 2025Pukul : 17.45 WIB
21 Mar, 17:02;Evakuasi mobil mogok;https://www.lapor.go.id/laporan/detil/evakuasi-mobil-mogok-202503211702411742551361411;Evakuasi mobil mogok Jl. Seth Adjie Persimpangan Christopel Mihing Minggu, 05 Januari 2025 Pukul : 15.50 WIB
21 Mar, 17:00;Evakuasi Cincin;https://www.lapor.go.id/laporan/detil/evakuasi-cincin-202503211700121742551212635;Evakuasi Cincin Jl. Diponegoro (Dinas Pemadam Kebakaran dan Penyelamatan Kota Palangka Raya) Minggu, 05 Januari 2025Pukul : 15.45 WIB
21 Mar, 16:57;Penanganan pohon mengenai kabel;https://www.lapor.go.id/laporan/detil/penanganan-pohon-mengenai-kabel-202503211657501742551070538;Penanganan pohon mengenai kabel Jl. Rangas No.71 Minggu, 05 Januari 2025 Pukul : 10.29 WIB
21 Mar, 16:55;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202503211655471742550947887;Evakuasi sarang tawon Jl G Obos Sabtu, 04 Januari 2025Pukul : 23.02 WIB
21 Mar, 16:52;Penanganan pohon miring rawan tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-miring-rawan-tumbang-202503211652181742550738604;Penanganan pohon miring rawan tumbang Jl. Lambung Mangkurat Jumat, 03 Januari 2025 Pukul : 10.48 WIB
21 Mar, 16:49;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202503211649061742550546503;Evakuasi sarang tawon Jl. Hiu Putih Sabtu, 04 Januari 2025Pukul : 17.18 WIB
21 Mar, 16:47;Evakuasi mobil amblas;https://www.lapor.go.id/laporan/detil/evakuasi-mobil-amblas-202503211647101742550430019;Evakuasi mobil amblas Jl. Manyar. X. KM. 8. Cilik Riwut Sabtu, 04 Januari 2025 Pukul : 11.27 WIB
21 Mar, 16:42;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202503211642221742550142700;Evakuasi sarang tawon Jl. G. Obos 20 GG. Lampang Rumah ujung dekat barak Jl. G. Obos 20 GG. Lampang Rumah ujung dekat barak
21 Mar, 16:37;Evakuasi sarang tawon pada tandon air;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-pada-tandon-air-202503211637081742549828072;Evakuasi sarang tawon pada tandon air Jl. Yogyakarta, Blok A6 Jumat, 03 Januari 2025 Pukul : 19.22 WIB
21 Mar, 16:34;Evakuasi mobil amblas;https://www.lapor.go.id/laporan/detil/evakuasi-mobil-amblas-202503211634341742549674210;Evakuasi mobil amblas Jl. G.Obos XXIV Jumat, 03 Januari 2025Pukul : 18.32 WIB
21 Mar, 15:52;Evakuasi ular kobra masuk dapur;https://www.lapor.go.id/laporan/detil/evakuasi-ular-kobra-masuk-dapur-202503211552131742547133517;Evakuasi ular kobra masuk dapur Jl. Poncowati Agung Jumat, 03 Januari 2025 Pukul : 12.47 WIB
21 Mar, 15:49;Evakuasi cincin;https://www.lapor.go.id/laporan/detil/evakuasi-cincin-202503211549441742546984991;Evakuasi cincin Jl. Dulin Kandang Jumat, 03 Januari 2025Pukul : 08.47 WIB
21 Mar, 08:38;Evakuasi monyet liar;https://www.lapor.go.id/laporan/detil/evakuasi-monyet-liar-202503211538271742546307483;Evakuasi monyet liar Jl. Bukit Raya No 99 Kamis, 02 Januari 2025 Pukul : 08.32 WIB
18 Mar, 06:36;Evakuasi Cincin;https://www.lapor.go.id/laporan/detil/evakuasi-cincin-202503181336361742279796460;Evakuasi Cincin Kamis, 02 Januari 2025Pukul : 22.00 WIBJl. Diponegoro (Dinas Pemadam Kebakaran dan Penyelamatan Kota Palangka Raya)
18 Mar, 06:02;Evakuasi pohon tumbang;https://www.lapor.go.id/laporan/detil/evakuasi-pohon-tumbang-202503181302431742277763422;Evakuasi pohon tumbangKamis, 02 Januari 2025Pukul : 18.27 WIBJl. Mutiara V gg. Terapu No.06
18 Mar, 05:58;Penanganan pohon rawan tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-rawan-tumbang-202503181258501742277530241;Penanganan pohon rawan tumbangKamis, 02 Januari 2025Pukul : 13.50 WIBJl. Bukit Keminting VIII (wisma putri)
18 Mar, 05:45;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202503181245111742276711883;Evakuasi sarang tawon Kamis, 02 Januari 2025Pukul : 11.17 WIBJl. Antang 1 no.38
18 Mar, 05:39;Penanganan pohon;https://www.lapor.go.id/laporan/detil/penanganan-pohon-202503181239511742276391714;Penanganan pohon Kamis, 02 Januari 2025Pukul : 08.38 WIBJl. Turi
18 Mar, 05:34;Penanganan pohon rawan tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-rawan-tumbang-202503181234381742276078770;Penanganan pohon rawan tumbangKamis, 02 Januari 2025Pukul : 08.29 WIBJl. Sesep Madu II (belakang kuburan muslimin pal 2)
18 Mar, 05:20;Evakuasi ular;https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503181220231742275223545;Evakuasi ularKamis, 02 Januari 2025 Pukul : 05.04 WIBJl. Samratulangi, No 47
18 Mar, 05:16;Evakuasi ular;https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503181216411742275001017;Evakuasi ularRabu, 01 Januari 2025 Pukul : 23.46 WIBJl. Putri Junjung Buih
18 Mar, 05:14;Evakuasi anjing;https://www.lapor.go.id/laporan/detil/evakuasi-anjing-202503181214191742274859882;Evakuasi anjing Rabu, 01 Januari 2025 Pukul : 21.05 WIBJl. Kapuas
18 Mar, 05:11;Memerlukan ambulan untuk pengantaran orang sakit;https://www.lapor.go.id/laporan/detil/memerlukan-ambulan-untuk-pengantaran-orang-sakit-202503181211251742274685456;Memerlukan ambulan untuk pengantaran orang sakitRabu, 01 Januari 2025 Pukul : 18.44 WIBJl. Bakti I
18 Mar, 05:07;Evakuasi ular;https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503181207521742274472212;Evakuasi ularRabu, 01 Januari 2025 Pukul : 18.44 WIBJl. Bukit Raya XVII A
18 Mar, 05:04;Evakuasi mobil terperosok;https://www.lapor.go.id/laporan/detil/evakuasi-mobil-terperosok-202503181204461742274286878;Evakuasi mobil terperosokRabu, 01 Januari 2025 Pukul : 16.24  WIBJl. Bukit Indah
18 Mar, 05:00;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202503181200441742274044558;Evakuasi sarang tawon Rabu, 01 Januari 2025 Pukul : 16.04 WIBJl. Tjilik Riwut sebelah Gereja Sion di samping kimia farma
18 Mar, 04:56;Evakuasi ular;https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503181156341742273794830;Evakuasi ularRabu, 01 Januari 2025 Pukul : 15.54 WIBJl. Diponegoro
18 Mar, 04:53;Evakuasi mobil terperosok;https://www.lapor.go.id/laporan/detil/evakuasi-mobil-terperosok-202503181153031742273583947;Evakuasi mobil terperosokRabu, 01 Januari 2025Pukul : 11.58 WIB Jl. Kecipir
18 Mar, 04:46;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202503181146511742273211906;Evakuasi sarang tawon Rabu, 01 Januari 2025Pukul : 10.40 WIB : Jl. Ratu Zaleha No.6
11 Mar, 06:10;Penanganan pohon rawan tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-rawan-tumbang-202503111310251741673425342;Penanganan pohon rawan tumbang Jl. K. H. Achmad Dahlan Selasa, 14 Januari 2025Pukul : 08.53 WIB
