meta-date,complaint-title,complaint-title href,readmore
"30 Apr, 11:03",Evakuasi Cincin,https://www.lapor.go.id/laporan/detil/evakuasi-cincin-202504301103511745985831929,Laporan dari salah satu warga di Kelurahan Ronggomulyo Kecamatan Tuban meminta bantuan untuk melepaskan cincin akik di jari bapaknya
"30 Apr, 11:01",evakuasi biawak,https://www.lapor.go.id/laporan/detil/evakuasi-biawak-202504301101401745985700526,Laporan dari warga di Desa Panyuran Kecamatan palang terdapat Biawak di salah satu rumah warga
"30 Apr, 11:00",biawak masuk rumah,https://www.lapor.go.id/laporan/detil/biawak-masuk-rumah-202504301100121745985612649,Laporan dari warga di Keluarahan Mondokan Kecamatan Tuban bahwa ada biawak masuk rumah dan minta dievakuasi.
"30 Apr, 10:56",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301056111745985371482,Laporan dari warga di Link. Kiring Kecamatan Semanding terdapat ular yang meresahkan warga
"30 Apr, 10:54",Ular di atap rumah,https://www.lapor.go.id/laporan/detil/ular-di-atap-rumah-202504301054121745985252746,Laporan evakuasi ular di atap rumah warga di Kelurahan Gedongombo Kecamatan Semanding
"30 Apr, 10:52",ular di gorong-gorong,https://www.lapor.go.id/laporan/detil/ular-di-gorong-gorong-202504301052071745985127995,Laporan dari warga di Kelurahan Latsari Kecamatan Tuban terdapat Ular ke gorong-gorong
"30 Apr, 10:47",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301047431745984863073,Laporan ular di rumah warga di Kelurahan Perbon Kecamatan Tuban
"30 Apr, 10:45",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301045511745984751295,"Laporan permohonan Evakuasi ular Cobra Dari warga Desa Wotsogo Kecamatan Jatirogo yang berada di Kamar dengan Panjang+ 1,2m."
"30 Apr, 10:43",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301043411745984621378,"Laporan permohonan evakuasi Ular pyton yang berada di atap Rumah warga di Desa Jegulo Kecamatan Soko, menyebabkan keresahan bagi keluarga dan warga sekitar."
"30 Apr, 10:40",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301040351745984435278,"Laporan dari salah satu warga di Desa Maibet Kecamatan Soko, bahwa ada ular yg berada di dapur"
"30 Apr, 10:38",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202504301038281745984308376,Laporan dari salah satu warga di Desa Sumberagung Kecamatan Plumpang bahwa dirumahnya ada ular yang mengganggu
"30 Apr, 10:35",Ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202504301035571745984157559,Laporan adanya ular di salah satu rumah warga di Desa Mulyoagung Kecamatan Singgahan
"30 Apr, 10:31",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301031411745983901369,Laporan permohonan evakuasi Ular pyton yang berada di kandang ayam milik warga di Dusun Wotsogo Kecamatan Jatirogo yang  menyebabkan Keresahan Bagi Keluarga dan Warga sekitar.
"30 Apr, 10:28",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301028311745983711456,Adanya ular sawo kembang yg berada di kandang ayam milik warga di Desa Nguruan Kecamatan Soko
"30 Apr, 10:17",Kebakaran,https://www.lapor.go.id/laporan/detil/kebakaran-202504301017071745983027691,Api berasal dari konsleting listrik yang mengeluarkan percikan api dan menyambar benda sekitar yang terbuat kayu ( bahan mudah terbakar ) di Desa Kebonharjo Kecamatan Jatirogo
"30 Apr, 10:14",Kebakaran,https://www.lapor.go.id/laporan/detil/kebakaran-202504301014391745982879753,"Kebakaran akibat korsleting listrik terjadi di Kecamatan REngel, mohon bantuan untuk memadamkan"
"30 Apr, 10:12",Kebakaran Rumah,https://www.lapor.go.id/laporan/detil/kebakaran-rumah-202504301012421745982762986,"Salah satu warga mencium bau kebakaran yg sangat menyengat,setika itu tetangga korban langsung keluar rumah saat sudah diluar langsung kepulan api sudah membakar rumah yg ada disamping rumahnya seketika langsung teriak meminta tolong warga sekitar langsung berkeliaran mencoba memadamkan api dengan alat seadanya. Karena merasa api semakin besar langsung menghubungi tim pemadam kebakaran jatirogo."
"30 Apr, 10:08",Kebakaran,https://www.lapor.go.id/laporan/detil/kebakaran-202504301008501745982530308,Kebakaran Tabung LPG beserta Regulator dan Selang di salah satu tempat usaha di Kelurahan Kutorejo Kecamatan Tuban
"30 Apr, 10:06",Kebakaran Toko,https://www.lapor.go.id/laporan/detil/kebakaran-toko-202504301006281745982388025,Kebakaran Toko Bangunan di Desa Sumurgung Kecamatan Palang
"30 Apr, 9:54",Kebakaran Rumah,https://www.lapor.go.id/laporan/detil/kebakaran-rumah-202504300954441745981684771,Pemadam kebakaran dari warga bahwa ada kebakaran rumah di Desa Gesikan Kecamatan Grabagan kabupaten Tuban
"30 Apr, 9:53",Kebakaran Tempat Usaha,https://www.lapor.go.id/laporan/detil/kebakaran-tempat-usaha-202504300953061745981586544,Terjadi kebakaran di salah satu tempat usaha milik warga di Desa Glondonggede Kecamatan Tambakboyo akibat  muncul percikan api dari instalasi listrik yang ada di pasar dan menyambar 2 kios yang ahirnya membakar 2 kios tersebut.
"30 Apr, 9:50",Kebakaran,https://www.lapor.go.id/laporan/detil/kebakaran-202504300950191745981419584,Tolong pak damkar bisa dibantu memadamkan api di rumah warga di Desa Cendoro Kecamatan Palang akibat pemilik rumah ketika sedang memasak di dapur pemilik rumah sedang mengisi pertalite eceran dari jirigen ke botol kecil untuk di jual eceran. Namun selang beberapa saat tiba tiba api menyambar dari uap bensin ke nyala kompor pada radius -/+2m.
"30 Apr, 9:47",Kebakaran Rumah,https://www.lapor.go.id/laporan/detil/kebakaran-rumah-202504300947311745981251920,"Mohon bantuan memadamkan api di pemukimana warga di Desa Tuwiri Kulon Kecamatan Merakurak, Kebakaran di salah satu rumah warga akibat dari tungku yang ditinggal pemilik rumah"
"24 Apr, 10:29",Taman MPP Yang Meresahkan,https://www.lapor.go.id/laporan/detil/taman-mpp-yang-meresahkan-202504241029061745465346935,"Ijin menyampaikan keluhan terkait taman depan MPP yang sering digunakan sebagai tempat pacaran/mesum, mohon diperhatikan karena minimnya penerangan akan membuat suasana semakin gelap. Beberapa hari ini lampu tidak menyala secara keseluruhan hanya beberapa saja. Mohon untuk ditindaklanjuti/pengecekan mengenai penerangan di area taman tersebut. Semoga segera ditindaklanjuti. Terima kasih"
"8 Apr, 10:45",Musik Becak,https://www.lapor.go.id/laporan/detil/musik-becak-202504072145501744037150653,Minta tolong ditertibkan untuk musik becak ziarah wali sunan bonang terlalu keras. sangat mengganggu kenyamanan warga sekitar apalagi saat tengah malam dan punya bayi
"29 Mar, 21:39",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292139501743259190696,Laporan dari warga di Kecamatan Semanding bahwa ada ular di tumpukan kayu dekat rumah warga
"29 Mar, 21:36",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202503292136541743259014733,Laporan dari warga di Desa Mulyoagung Kecamatan Singgahan bahwa ada ular di salah satu rumah warga
"29 Mar, 21:34",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202503292134231743258863103,"Laporan dari warga di Kecamatan Rengel, bahwa ada sarang tawon di atas rumahnya,"
